Datetime (UTC),Timeslot,Region,Value
2025-08-28T14:00Z,77, Yorkshire,166
2025-08-28T14:30Z,78, Yorkshire,161
2025-08-28T15:00Z,79, Yorkshire,167
2025-08-28T15:30Z,80, Yorkshire,158
2025-08-28T16:00Z,81, Yorkshire,159
2025-08-28T16:30Z,82, Yorkshire,152
2025-08-28T17:00Z,83, Yorkshire,150
2025-08-28T17:30Z,84, Yorkshire,152
2025-08-28T18:00Z,85, Yorkshire,149
2025-08-28T18:30Z,86, Yorkshire,150
2025-08-28T19:00Z,87, Yorkshire,153
2025-08-28T19:30Z,88, Yorkshire,160
2025-08-28T20:00Z,89, Yorkshire,173
2025-08-28T20:30Z,90, Yorkshire,160
2025-08-28T21:00Z,91, Yorkshire,154
2025-08-28T21:30Z,92, Yorkshire,149
2025-08-28T22:00Z,93, Yorkshire,136
2025-08-28T22:30Z,94, Yorkshire,122
2025-08-28T23:00Z,95, Yorkshire,111
2025-08-28T23:30Z,96, Yorkshire,112
2025-08-29T00:00Z,97, Yorkshire,102
2025-08-27T00:00Z,1, North Wales & Merseyside,165
2025-08-27T00:30Z,2, North Wales & Merseyside,166
2025-08-27T01:00Z,3, North Wales & Merseyside,155
2025-08-27T01:30Z,4, North Wales & Merseyside,150
2025-08-27T02:00Z,5, North Wales & Merseyside,138
2025-08-27T02:30Z,6, North Wales & Merseyside,139
2025-08-27T03:00Z,7, North Wales & Merseyside,129
2025-08-27T03:30Z,8, North Wales & Merseyside,112
2025-08-27T04:00Z,9, North Wales & Merseyside,122
2025-08-27T04:30Z,10, North Wales & Merseyside,120
2025-08-27T05:00Z,11, North Wales & Merseyside,109
2025-08-27T05:30Z,12, North Wales & Merseyside,100
2025-08-27T06:00Z,13, North Wales & Merseyside,92
2025-08-27T06:30Z,14, North Wales & Merseyside,96
2025-08-27T07:00Z,15, North Wales & Merseyside,84
2025-08-27T07:30Z,16, North Wales & Merseyside,78
2025-08-27T08:00Z,17, North Wales & Merseyside,54
2025-08-27T08:30Z,18, North Wales & Merseyside,50
2025-08-27T09:00Z,19, North Wales & Merseyside,50
2025-08-27T09:30Z,20, North Wales & Merseyside,42
2025-08-27T10:00Z,21, North Wales & Merseyside,41
2025-08-27T10:30Z,22, North Wales & Merseyside,42
2025-08-27T11:00Z,23, North Wales & Merseyside,37
2025-08-27T11:30Z,24, North Wales & Merseyside,49
2025-08-27T12:00Z,25, North Wales & Merseyside,40
2025-08-27T12:30Z,26, North Wales & Merseyside,36
2025-08-27T13:00Z,27, North Wales & Merseyside,42
2025-08-27T13:30Z,28, North Wales & Merseyside,37
2025-08-27T14:00Z,29, North Wales & Merseyside,28
2025-08-27T14:30Z,30, North Wales & Merseyside,38
2025-08-27T15:00Z,31, North Wales & Merseyside,43
2025-08-27T15:30Z,32, North Wales & Merseyside,50
2025-08-27T16:00Z,33, North Wales & Merseyside,85
2025-08-27T16:30Z,34, North Wales & Merseyside,96
2025-08-27T17:00Z,35, North Wales & Merseyside,113
2025-08-27T17:30Z,36, North Wales & Merseyside,117
2025-08-27T18:00Z,37, North Wales & Merseyside,138
2025-08-27T18:30Z,38, North Wales & Merseyside,149
2025-08-27T19:00Z,39, North Wales & Merseyside,154
2025-08-27T19:30Z,40, North Wales & Merseyside,167
2025-08-27T20:00Z,41, North Wales & Merseyside,163
2025-08-27T20:30Z,42, North Wales & Merseyside,158
2025-08-27T21:00Z,43, North Wales & Merseyside,151
2025-08-27T21:30Z,44, North Wales & Merseyside,143
2025-08-27T22:00Z,45, North Wales & Merseyside,116
2025-08-27T22:30Z,46, North Wales & Merseyside,113
2025-08-27T23:00Z,47, North Wales & Merseyside,111
2025-08-27T23:30Z,48, North Wales & Merseyside,96
2025-08-28T00:00Z,49, North Wales & Merseyside,48
2025-08-28T00:30Z,50, North Wales & Merseyside,54
2025-08-28T01:00Z,51, North Wales & Merseyside,56
2025-08-28T01:30Z,52, North Wales & Merseyside,71
2025-08-28T02:00Z,53, North Wales & Merseyside,68
2025-08-28T02:30Z,54, North Wales & Merseyside,65
2025-08-28T03:00Z,55, North Wales & Merseyside,91
2025-08-28T03:30Z,56, North Wales & Merseyside,85
2025-08-28T04:00Z,57, North Wales & Merseyside,94
2025-08-28T04:30Z,58, North Wales & Merseyside,66
2025-08-28T05:00Z,59, North Wales & Merseyside,72
2025-08-28T05:30Z,60, North Wales & Merseyside,73
2025-08-28T06:00Z,61, North Wales & Merseyside,75
2025-08-28T06:30Z,62, North Wales & Merseyside,98
2025-08-28T07:00Z,63, North Wales & Merseyside,90
2025-08-28T07:30Z,64, North Wales & Merseyside,88
2025-08-28T08:00Z,65, North Wales & Merseyside,82
2025-08-28T08:30Z,66, North Wales & Merseyside,82
2025-08-28T09:00Z,67, North Wales & Merseyside,91
2025-08-28T09:30Z,68, North Wales & Merseyside,92
2025-08-28T10:00Z,69, North Wales & Merseyside,87
2025-08-28T10:30Z,70, North Wales & Merseyside,70
2025-08-28T11:00Z,71, North Wales & Merseyside,74
2025-08-28T11:30Z,72, North Wales & Merseyside,62
2025-08-28T12:00Z,73, North Wales & Merseyside,56
2025-08-28T12:30Z,74, North Wales & Merseyside,55
2025-08-28T13:00Z,75, North Wales & Merseyside,70
2025-08-28T13:30Z,76, North Wales & Merseyside,80
2025-08-28T14:00Z,77, North Wales & Merseyside,88
2025-08-28T14:30Z,78, North Wales & Merseyside,101
2025-08-28T15:00Z,79, North Wales & Merseyside,109
2025-08-28T15:30Z,80, North Wales & Merseyside,122
2025-08-28T16:00Z,81, North Wales & Merseyside,120
2025-08-28T16:30Z,82, North Wales & Merseyside,114
2025-08-28T17:00Z,83, North Wales & Merseyside,126
2025-08-28T17:30Z,84, North Wales & Merseyside,120
2025-08-28T18:00Z,85, North Wales & Merseyside,107
2025-08-28T18:30Z,86, North Wales & Merseyside,133
2025-08-28T19:00Z,87, North Wales & Merseyside,136
2025-08-28T19:30Z,88, North Wales & Merseyside,137
2025-08-28T20:00Z,89, North Wales & Merseyside,135
2025-08-28T20:30Z,90, North Wales & Merseyside,132
